Sample_Name,buffer_test,reads_G4,reads_G6,Acanthocephala_G4,Ancylostoma_G4,Ascaridida_G4,Blastocystis_G4,Cryptosporidium_G4,Cyclophyllidea_G4,Echinostoma_paraensei_G4,Eimeria_G4,Eimeriorina_G4,Entamoeba_G4,Eucestoda_G4,Haemonchus_contortus_G4,Hepatozoon_G4,Hexamastix_G4,Hymenolepis_diminuta_G4,Hymenolepis_microstoma_G4,Hypotrichomonadidae_G4,Hypotrichomonas_G4,Microsporidia_G4,Moniliformis_moniliformis_G4,Neobalantidium_coli_G4,Nippostrongylus_brasiliensis_G4,Ostertagia_G4,Pentatrichomonas_hominis_G4,Rhabditida_G4,Simplicimonas_G4,Simplicimonas_similis_G4,Spirocerca_lupi_G4,Spirurida_G4,Streptopharagus_G4,Syphacia_G4,Tetratrichomonas_G4,Trichomitus_G4,Trichomitus_batrachorum_G4,Trichomonadea_G4,Trichuris_trichiura_G4,Tritrichomonas_G4,Ancylostoma_G6,Apicomplexa_G6,Ascaridida_G6,Blastocystis_G6,Cryptosporidium_G6,Cyclophyllidea_G6,Eimeria_G6,Entamoeba_G6,Hepatozoon_G6,Hymenolepis_diminuta_G6,Hymenolepis_microstoma_G6,Neobalantidium_coli_G6,Nippostrongylus_brasiliensis_G6,Rhabditida_G6,Sarcocystis_G6,Spirocerca_G6,Spirurida_G6,Strongyloides_G6,Strongyloides_ratti_G6,Syphacia_obvelata_G6
TMR-2117,,16104,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2118,,13986,4192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06393,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2120,,5070,3427,0,0,0,0,0,0,0,0.02229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7686,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2124,,4412,4785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50533,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2125,,3923,2785,0,0,0,0,0,0,0,0.26893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88259,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2126,,7935,3870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7584,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2131,,6370,1860,0,0,0,0,0,0,0,0.11774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92473,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2132,,4949,3646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24685,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2133,,15542,3835,0,0,0,0,0,0,0,0.01827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81799,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2134,,6690,4377,0,0,0,0,0,0,0,0.04066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73178,0,0,0,0,0,0,0,0,0,0,0,0,0
